Metabolomic Feature,Putative Chemical Class
HILIC-neg_Cluster_0622,Harmala alkaloids
C18-neg_Cluster_0183,#N/A
C18-neg_Cluster_0393,Long-chain fatty acids
HILIC-neg_Cluster_0480,Imidazopyrimidines
C18-neg_Cluster_0530,Very long-chain fatty acids
HILIC-pos_Cluster_0245,Imidazopyrimidines
HILIC-pos_Cluster_0110,Pyridinecarboxylic acids and derivatives
HILIC-neg_Cluster_0032,L-alpha-amino acids
HILIC-pos_Cluster_0728,Purine nucleosides
HILIC-neg_Cluster_0113,Hydroxy fatty acids
HILIC-neg_Cluster_0169,Hydroxy acids and derivatives
C18-neg_Cluster_0219,#N/A
C18-neg_Cluster_0144,Long-chain fatty acids
HILIC-pos_Cluster_0114,Organonitrogen compounds
HILIC-neg_Cluster_0161,Methyl-branched fatty acids
HILIC-neg_Cluster_0220,Medium-chain fatty acids
HILIC-pos_Cluster_0272,Histidine and derivatives
HILIC-pos_Cluster_0254,Imidazopyrimidines
HILIC-pos_Cluster_0150,Gamma amino acids and derivatives
HILIC-pos_Cluster_0177,Alkyl-phenylketones
HILIC-neg_Cluster_0079,Hydroxybenzaldehydes
C18-neg_Cluster_0004,Styrenes
HILIC-neg_Cluster_0084,Phenols
HILIC-neg_Cluster_0133,Nitrophenols
HILIC-neg_Cluster_0335,Pyridines and derivatives
HILIC-pos_Cluster_0422,Organonitrogen compounds
HILIC-pos_Cluster_1370,#N/A
C8-pos_Cluster_0100,Fatty acid methyl esters
C18-neg_Cluster_0901,#N/A
HILIC-pos_Cluster_0246,Imidazopyrimidines
HILIC-pos_Cluster_0914,Purine nucleosides
C18-neg_Cluster_0394,Long-chain fatty acids
C18-neg_Cluster_0025,Organic sulfuric acids and derivatives
HILIC-neg_Cluster_0232,Organic sulfuric acids and derivatives
HILIC-neg_Cluster_0103,N-acyl-L-alpha-amino acids
HILIC-pos_Cluster_0152,Quaternary ammonium salts
C18-neg_Cluster_0090,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0120,Purines and purine derivatives
HILIC-pos_Cluster_0447,Arginine and derivatives
HILIC-pos_Cluster_0446,Arginine and derivatives
C18-neg_Cluster_0506,Very long-chain fatty acids
HILIC-pos_Cluster_0008,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0015,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0034,#N/A
HILIC-neg_Cluster_0159,Gamma-keto acids and derivatives
HILIC-neg_Cluster_0062,Keto acids and derivatives
C18-neg_Cluster_0244,Lineolic acids and derivatives
C18-neg_Cluster_0927,#N/A
HILIC-pos_Cluster_0667,Peptidomimetics
C18-neg_Cluster_0354,#N/A
C18-neg_Cluster_1620,#N/A
C18-neg_Cluster_1941,#N/A
C18-neg_Cluster_0709,#N/A
C18-neg_Cluster_1131,#N/A
HILIC-pos_Cluster_0295,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0290,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_0299,Furanones
HILIC-pos_Cluster_0099,Asparagine and derivatives
HILIC-neg_Cluster_0112,Asparagine and derivatives
HILIC-neg_Cluster_0117,"Amino acids, peptides, and analogues"
HILIC-pos_Cluster_0817,Phenylacetamides
HILIC-neg_Cluster_0365,Fatty acids and conjugates
C18-neg_Cluster_0045,Fatty acids and conjugates
HILIC-pos_Cluster_0009,"Amino acids, peptides, and analogues"
