Column_A,Column_B,Correlation,P_value,FDR
HILIC-neg_Cluster_1037,Diagnosis,0.004425079017896977,0.9598379193722997,0.9662510903257894
HILIC-pos_Cluster_1588,Diagnosis,-0.1677272641000396,0.05456142205873122,0.07579753855155397
C18-neg_Cluster_0041,Diagnosis,-0.3085486915206346,0.0003188641848187517,0.0008555816119367692
HILIC-pos_Cluster_1081,Diagnosis,-0.510090926790306,4.1714667650038153e-10,8.263160460397996e-09
HILIC-neg_Cluster_0827,Diagnosis,-0.11988644592750669,0.17092628480944252,0.20781691786050027
HILIC-neg_Cluster_0043,Diagnosis,0.15574837017229115,0.07453877477648278,0.1000288227229885
C18-neg_Cluster_1458,Diagnosis,0.09416896554457234,0.2828148915126003,0.3267090243031247
C8-pos_Cluster_1291,Diagnosis,0.06074426651840394,0.48900016854441475,0.5323360740999349
C18-neg_Cluster_0872,Diagnosis,-0.2661197828946765,0.002040883785948397,0.004233322563093629
HILIC-pos_Cluster_1551,Diagnosis,0.3982675020741533,2.251946895411289e-06,1.3257542591533871e-05
HILIC-neg_Cluster_0860,Diagnosis,-0.34765454275373525,4.418911025307918e-05,0.0001612805169056006
C18-neg_Cluster_0096,Diagnosis,0.08304438177295052,0.3438074594734858,0.38788533889316346
HILIC-pos_Cluster_1355,Diagnosis,-0.2115132507918152,0.01490824429123477,0.02394179283463155
HILIC-pos_Cluster_1162,Diagnosis,-0.20154223526967135,0.020484518836052845,0.03177816775440086
C18-neg_Cluster_1161,Diagnosis,-0.26094127556789376,0.0025110301482653614,0.00506690012060689
HILIC-neg_Cluster_0072,Diagnosis,0.5672853025282703,1.3224588146347697e-12,6.262157358441976e-11
C18-neg_Cluster_1215,Diagnosis,0.13924967088357545,0.11129289436930503,0.1424686588064327
C18-neg_Cluster_0584,Diagnosis,0.3662174325955027,1.5709300380776664e-05,6.845454995023801e-05
C8-pos_Cluster_0790,Diagnosis,-0.33050949774259075,0.00010861315054741289,0.0003439647035170299
HILIC-pos_Cluster_2336,Diagnosis,-0.17167549535423632,0.049035850167856644,0.06906692550554766
HILIC-neg_Cluster_1292,Diagnosis,-0.36031922088818646,2.1973989163863938e-05,8.962647590051805e-05
HILIC-pos_Cluster_1523,Diagnosis,-0.36828773867212383,1.3941677899554914e-05,6.183588092469851e-05
HILIC-neg_Cluster_0195,Diagnosis,-0.4802323208513082,5.641067727418962e-09,8.298044006132272e-08
HILIC-pos_Cluster_1848,Diagnosis,-0.378251681181739,7.758512614020458e-06,3.770803980147578e-05
C18-neg_Cluster_2171,Diagnosis,0.1131719685297079,0.19634494873592395,0.23546239390135407
HILIC-pos_Cluster_1205,Diagnosis,-0.352137778357828,3.462454988497704e-05,0.00013191820845065582
C8-pos_Cluster_1895,Diagnosis,-0.25461698191106374,0.003216830390397142,0.006311519393981034
C8-pos_Cluster_2284,Diagnosis,0.0011080214415889662,0.9899396438818645,0.9919346854858183
