Column_A,Column_B,Correlation,P_value,FDR
Bifidobacterium_breve,Diagnosis,0.2689112352255779,0.0018220139446535907,
Bifidobacterium_dentium,Diagnosis,0.278727236191619,0.0012110821997528161,
Adlercreutzia_equolifaciens,Diagnosis,-0.3324517852340911,9.835051347018763e-05,
Gordonibacter_pamelaeae,Diagnosis,-0.3545535188488971,3.031364091657041e-05,
Bacteroides_cellulosilyticus,Diagnosis,-0.23312771131031848,0.007142417538841243,
Bacteroides_salyersiae,Diagnosis,-0.2290792971569531,0.008238903784021126,
Bacteroides_xylanisolvens,Diagnosis,-0.20423853472666048,0.018822849525610166,
Bacteroidales_bacterium_ph8,Diagnosis,-0.3157306586150377,0.00022623944335177073,
Barnesiella_intestinihominis,Diagnosis,-0.2306337744828317,0.00780141574659864,
Alistipes_finegoldii,Diagnosis,-0.30465956490459645,0.0003826043433983325,
Alistipes_indistinctus,Diagnosis,-0.33511589204399617,8.573975379873718e-05,
Alistipes_putredinis,Diagnosis,-0.2144324856672029,0.01354911953156216,
Alistipes_shahii,Diagnosis,-0.4361537793163543,1.7177554516321722e-07,
Clostridium_leptum,Diagnosis,-0.3012551494434575,0.00044785682835847535,
Clostridium_symbiosum,Diagnosis,0.28436655662518184,0.0009513067494432405,
Flavonifractor_plautii,Diagnosis,0.2531686654593418,0.0034017251058420495,
Eubacterium_hallii,Diagnosis,-0.38837631123006267,4.192131231814816e-06,
Eubacterium_ramulus,Diagnosis,-0.4293728624762534,2.7870848798891335e-07,
Eubacterium_rectale,Diagnosis,-0.3230543678658552,0.00015800960316485842,
Eubacterium_ventriosum,Diagnosis,-0.2880007070865386,0.0008120720959512809,
Anaerostipes_hadrus,Diagnosis,-0.21740361807973532,0.012278200204015363,
Anaerostipes_unclassified,Diagnosis,0.21006341795733352,0.01562631893562567,
Blautia_producta,Diagnosis,0.29515057652787235,0.0005911637912523973,
Ruminococcus_obeum,Diagnosis,-0.29849325122389775,0.0005081767071539352,
Ruminococcus_torques,Diagnosis,-0.3548155096417901,2.9877705729449837e-05,
Coprococcus_catus,Diagnosis,-0.3410744520771688,6.279322889516639e-05,
Coprococcus_comes,Diagnosis,-0.3405841052528592,6.443896019042769e-05,
Coprococcus_sp_ART55_1,Diagnosis,-0.30074759492316516,0.0004584208145450353,
Dorea_formicigenerans,Diagnosis,-0.2972541923470083,0.0005375980949973814,
Dorea_longicatena,Diagnosis,-0.4609697183287271,2.6640813412536303e-08,
Dorea_unclassified,Diagnosis,0.3066144442405513,0.00034922400867917584,
Lachnospiraceae_bacterium_3_1_46FAA,Diagnosis,-0.2534246511536302,0.0033683655697985962,
Roseburia_hominis,Diagnosis,-0.4299091123349066,2.683454905554893e-07,
Roseburia_intestinalis,Diagnosis,-0.24969183671914805,0.003885201251559125,
Roseburia_inulinivorans,Diagnosis,-0.30611060512536586,0.000357559612166014,
Roseburia_unclassified,Diagnosis,0.2452307584776299,0.0045955141533293815,
Ruminococcus_bromii,Diagnosis,-0.30395111112247,0.0003954120572331659,
Ruminococcus_callidus,Diagnosis,-0.26165773810920784,0.002440621839516187,
Ruminococcus_lactaris,Diagnosis,-0.2673005876433715,0.0019455446283141676,
Ruminococcus_sp_5_1_39BFAA,Diagnosis,-0.4523728948755229,5.167308046151145e-08,
Subdoligranulum_unclassified,Diagnosis,-0.34274427229482596,5.747912256695843e-05,
Megasphaera_micronuciformis,Diagnosis,0.21789283466308915,0.012079265219406903,
Bilophila_unclassified,Diagnosis,-0.2400110160865556,0.005572555897740964,
Klebsiella_pneumoniae,Diagnosis,0.21343522241892796,0.014000727880726413,
Akkermansia_muciniphila,Diagnosis,-0.2755423439729168,0.0013849552839875216,
