,PC,Label,p_value
0,PC1,"positive_1,2-diacylglycerols",1.0
1,PC1,"negative_1,2-diacylglycerols",1.0
2,PC1,"positive_1,3-diacylglycerols",0.7469189016478692
3,PC1,"negative_1,3-diacylglycerols",1.0
4,PC1,"positive_1-(1Z-alkenyl),2-acyl-glycerophosphocholines",1.0
5,PC1,"negative_1-(1Z-alkenyl),2-acyl-glycerophosphocholines",1.0
6,PC1,positive_1-(1Z-alkenyl)-glycero-3-phosphocholines,1.0
7,PC1,negative_1-(1Z-alkenyl)-glycero-3-phosphocholines,0.35416920028634835
8,PC1,positive_1-(1Z-alkenyl)-glycero-3-phosphoethanolamines,1.0
9,PC1,negative_1-(1Z-alkenyl)-glycero-3-phosphoethanolamines,1.0
10,PC1,"positive_1-acyl,2-(1Z-alkenyl)-glycerophosphocholines",0.3446808510638298
11,PC1,"negative_1-acyl,2-(1Z-alkenyl)-glycerophosphocholines",0.4705822267620022
12,PC1,positive_1-acyl-sn-glycero-3-phosphocholines,1.0
13,PC1,negative_1-acyl-sn-glycero-3-phosphocholines,0.04048674008946397
14,PC1,positive_1-acyl-sn-glycero-3-phosphoethanolamines,0.41912278119510243
15,PC1,negative_1-acyl-sn-glycero-3-phosphoethanolamines,0.6337342896831486
16,PC1,"positive_1-acyl-sn-glycerol-2,3-cyclic-phosphates",0.4701962236208811
17,PC1,"negative_1-acyl-sn-glycerol-2,3-cyclic-phosphates",0.4344262295081968
18,PC1,positive_1-acyl-sn-glycerol-3-phosphoinositols,1.0
19,PC1,negative_1-acyl-sn-glycerol-3-phosphoinositols,0.40697674418604657
20,PC1,positive_1-acylglycerol-3-phosphates,1.0
21,PC1,negative_1-acylglycerol-3-phosphates,0.41261722080136404
22,PC1,"positive_1-alkyl,2-acylglycero-3-phosphocholines",1.0
23,PC1,"negative_1-alkyl,2-acylglycero-3-phosphocholines",0.21116660080124766
24,PC1,"positive_1-alkyl,2-acylglycerophosphates",1.0
25,PC1,"negative_1-alkyl,2-acylglycerophosphates",1.0
26,PC1,positive_1-benzopyrans,0.16304347826086957
27,PC1,negative_1-benzopyrans,1.0
28,PC1,positive_1-monoacylglycerols,0.6534977804321862
29,PC1,negative_1-monoacylglycerols,0.34463256663442343
30,PC1,positive_2(hydroxyphenyl)acetic acids,1.0
31,PC1,negative_2(hydroxyphenyl)acetic acids,1.0
32,PC1,positive_2-acyl-sn-glycero-3-phosphocholines,1.0
33,PC1,negative_2-acyl-sn-glycero-3-phosphocholines,1.0
34,PC1,positive_2-deoxystreptamine aminoglycosides,1.0
35,PC1,negative_2-deoxystreptamine aminoglycosides,1.0
36,PC1,positive_2-monoacylglycerols,0.40422938365929845
37,PC1,negative_2-monoacylglycerols,0.38652688798291596
38,PC1,positive_2-polyprenyl-6-methoxyphenols,1.0
39,PC1,negative_2-polyprenyl-6-methoxyphenols,1.0
40,PC1,positive_21-hydroxysteroids,1.0
41,PC1,negative_21-hydroxysteroids,1.0
42,PC1,positive_3-hydroxysteroids,0.5172413793103448
43,PC1,negative_3-hydroxysteroids,1.0
44,PC1,"positive_5,10-cycloaromadendrane sesquiterpenoids",1.0
