"","source","target","Spearman_Correlation"
"1","Coprococcus_catus","PC1_Coprococcus_catus",0.479409559665525
"2","PC1_Coprococcus_catus","Disease Phenotype",-0.613476863844808
"3","Coprococcus_catus","PC3_Coprococcus_catus",0.139158323602317
"4","PC3_Coprococcus_catus","Disease Phenotype",0.285216456698996
"5","Coprococcus_catus","PC5_Coprococcus_catus",0.0831848651450145
"6","PC5_Coprococcus_catus","Disease Phenotype",0.297687133931251
"7","Eubacterium_hallii","PC1_Eubacterium_hallii",0.426754720823486
"8","PC1_Eubacterium_hallii","Disease Phenotype",-0.613476863844808
"9","Eubacterium_hallii","PC5_Eubacterium_hallii",-0.19782613348813
"10","PC5_Eubacterium_hallii","Disease Phenotype",0.297687133931251
"11","Dorea_longicatena","PC1_Dorea_longicatena",0.364844549669602
"12","PC1_Dorea_longicatena","Disease Phenotype",-0.613476863844808
"13","Dorea_longicatena","PC5_Dorea_longicatena",-0.328818728898191
"14","PC5_Dorea_longicatena","Disease Phenotype",0.297687133931251
"15","Alistipes_putredinis","PC1_Alistipes_putredinis",0.493189322850587
"16","PC1_Alistipes_putredinis","Disease Phenotype",-0.613476863844808
"17","Alistipes_putredinis","PC2_Alistipes_putredinis",0.249262053058091
"18","PC2_Alistipes_putredinis","Disease Phenotype",0.142809368304857
"19","Roseburia_intestinalis","PC1_Roseburia_intestinalis",0.12143512761377
"20","PC1_Roseburia_intestinalis","Disease Phenotype",-0.613476863844808
"21","Roseburia_intestinalis","PC3_Roseburia_intestinalis",-0.0978069395847695
"22","PC3_Roseburia_intestinalis","Disease Phenotype",0.285216456698996
"23","Roseburia_intestinalis","PC5_Roseburia_intestinalis",-0.339629405063207
"24","PC5_Roseburia_intestinalis","Disease Phenotype",0.297687133931251
"25","Subdoligranulum_unclassified","PC1_Subdoligranulum_unclassified",0.646270323303102
"26","PC1_Subdoligranulum_unclassified","Disease Phenotype",-0.613476863844808
"27","Subdoligranulum_unclassified","PC3_Subdoligranulum_unclassified",0.135036420180078
"28","PC3_Subdoligranulum_unclassified","Disease Phenotype",0.285216456698996
"29","Subdoligranulum_unclassified","PC10_Subdoligranulum_unclassified",-0.133554567655691
"30","PC10_Subdoligranulum_unclassified","Disease Phenotype",-0.150854966519215
"31","Eubacterium_rectale","PC5_Eubacterium_rectale",-0.279337713841375
"32","PC5_Eubacterium_rectale","Disease Phenotype",0.297687133931251
"33","Eubacterium_rectale","PC14_Eubacterium_rectale",0.130881501505069
"34","PC14_Eubacterium_rectale","Disease Phenotype",0.145223047769164
