Column_A,Column_B,Correlation,P_value,FDR
Methanobrevibacter_smithii,Diagnosis,-0.14366488440000832,0.10029571345954581,
Methanosphaera_stadtmanae,Diagnosis,0.0887894943482772,0.3113409611359749,
Rothia_mucilaginosa,Diagnosis,0.05719028118040936,0.5148204380620862,
Propionibacterium_freudenreichii,Diagnosis,-0.020142262894920444,0.8186830213189173,
Bifidobacterium_adolescentis,Diagnosis,-0.1272140782269555,0.1460600586167499,
Bifidobacterium_animalis,Diagnosis,-0.11124524679615089,0.20412030828128758,
Bifidobacterium_bifidum,Diagnosis,0.07535492910709239,0.3904786762090212,
Bifidobacterium_breve,Diagnosis,0.2689112352255779,0.0018220139446535907,
Bifidobacterium_catenulatum,Diagnosis,-0.06572576564948127,0.45400219026270205,
Bifidobacterium_dentium,Diagnosis,0.278727236191619,0.0012110821997528161,
Bifidobacterium_longum,Diagnosis,0.023132150998674772,0.7923381378600286,
Bifidobacterium_pseudocatenulatum,Diagnosis,0.057721683284997535,0.5109157027664384,
Adlercreutzia_equolifaciens,Diagnosis,-0.3324517852340911,9.835051347018763e-05,
Collinsella_aerofaciens,Diagnosis,-0.12985127797346221,0.1378146229195015,
Collinsella_intestinalis,Diagnosis,0.03524896006611078,0.6882341508189099,
Collinsella_unclassified,Diagnosis,0.008514061101889594,0.9228133631437592,
Eggerthella_lenta,Diagnosis,-0.10879633826112237,0.21431934440664846,
Eggerthella_sp_1_3_56FAA,Diagnosis,0.09243837767765845,0.291794169957644,
Eggerthella_unclassified,Diagnosis,0.12705406251413104,0.14657211633883013,
Gordonibacter_pamelaeae,Diagnosis,-0.3545535188488971,3.031364091657041e-05,
Slackia_piriformis,Diagnosis,-0.12448907644653036,0.15496653093283308,
Bacteroides_caccae,Diagnosis,-0.17712680860837782,0.042176827456202555,
Bacteroides_cellulosilyticus,Diagnosis,-0.23312771131031848,0.007142417538841243,
Bacteroides_dorei,Diagnosis,-0.028695761780618348,0.7439547574919056,
Bacteroides_eggerthii,Diagnosis,-0.17785409596622032,0.04132553177886052,
Bacteroides_faecis,Diagnosis,-0.06897485038739194,0.4319495233032048,
