Column_A,Column_B,Correlation,P_value,FDR
C18-neg_Cluster_0001,Diagnosis,0.6367111192747783,2.291180677602437e-16,1.4480261882447402e-13
C18-neg_Cluster_0002,Diagnosis,-0.2160271300200015,0.012853406036715717,0.029328923683347146
C18-neg_Cluster_0006,Diagnosis,-0.2678846644925705,0.001899895933707221,0.00601226009350554
C18-neg_Cluster_0008,Diagnosis,-0.335706964621399,8.315463622518302e-05,0.0004379477507859639
C18-neg_Cluster_0011,Diagnosis,-0.4407320504879262,1.2315082591894855e-07,1.938568532253542e-06
C18-neg_Cluster_0012,Diagnosis,0.6172199625622851,3.237383381432064e-15,8.680111563306335e-13
C18-neg_Cluster_0013,Diagnosis,0.21843799151982346,0.011860914285212647,0.02744914361424079
C18-neg_Cluster_0016,Diagnosis,-0.27958453794894533,0.0011678131652212676,0.003958931373899531
C18-neg_Cluster_0017,Diagnosis,-0.30538263356148626,0.0003699284720751217,0.001522384707404966
C18-neg_Cluster_0018,Diagnosis,0.5564266780331998,4.2932531254823815e-12,2.792634064307412e-10
C18-neg_Cluster_0020,Diagnosis,-0.3454778908190582,4.967873524931307e-05,0.0002886129018292331
C18-neg_Cluster_0023,Diagnosis,-0.46954092876169823,1.3511087794162425e-08,3.066951545620825e-07
C18-neg_Cluster_0024,Diagnosis,-0.3274562744719921,0.0001267838708007223,0.0006239063897913186
C18-neg_Cluster_0028,Diagnosis,0.5059501556806493,6.077445620618484e-10,1.9990051617558492e-08
C18-neg_Cluster_0030,Diagnosis,-0.410355485956628,1.0250100546522145e-06,1.126619747026434e-05
C18-neg_Cluster_0034,Diagnosis,-0.21267278203940176,0.01435480162137241,0.03213848298226293
C18-neg_Cluster_0035,Diagnosis,-0.4175665473251874,6.314581561954913e-07,7.4694408636600366e-06
C18-neg_Cluster_0037,Diagnosis,0.6172199625622851,3.237383381432064e-15,8.680111563306335e-13
C18-neg_Cluster_0040,Diagnosis,-0.2419274858368561,0.0051941615488685896,0.013859451563446706
C18-neg_Cluster_0041,Diagnosis,-0.3085486915206346,0.0003188641848187517,0.0013402899321977744
C18-neg_Cluster_0045,Diagnosis,-0.4497489401826199,6.302538430554037e-08,1.093428628108669e-06
C18-neg_Cluster_0046,Diagnosis,-0.25424223015296954,0.0032637829959223526,0.00943155852207778
C18-neg_Cluster_0049,Diagnosis,-0.5126846637359376,3.2869692677485664e-10,1.1727058097193272e-08
C18-neg_Cluster_0050,Diagnosis,-0.45854781087691243,3.2166714175022875e-08,6.21421587381228e-07
C18-neg_Cluster_0053,Diagnosis,0.6275261258520447,8.168081489320577e-16,3.613559250875423e-13
C18-neg_Cluster_0054,Diagnosis,-0.361260699197418,2.083701967411585e-05,0.00014029303781150335
C18-neg_Cluster_0055,Diagnosis,-0.2547642701513667,0.003198543822137916,0.009275881920116776
C18-neg_Cluster_0057,Diagnosis,-0.27129772842235067,0.0016520436864129002,0.0053038035331572355
C18-neg_Cluster_0058,Diagnosis,-0.33102662693124674,0.00010578733713507953,0.0005348607765549621
C18-neg_Cluster_0059,Diagnosis,-0.3157938492843597,0.00022554867160327498,0.0010035457784580465
C18-neg_Cluster_0060,Diagnosis,-0.3405278027915777,6.463048696838059e-05,0.0003596544331422839
C18-neg_Cluster_0061,Diagnosis,-0.2512902861375888,0.0036557467729982167,0.010373972882452925
C18-neg_Cluster_0063,Diagnosis,-0.42874732313952846,2.912797454774036e-07,3.978884642300501e-06
C18-neg_Cluster_0064,Diagnosis,-0.42199217680727236,4.664225763885041e-07,5.820743238202375e-06
C18-neg_Cluster_0065,Diagnosis,-0.3579050217532572,2.516195173198772e-05,0.00016589638518973722
C18-neg_Cluster_0066,Diagnosis,-0.39764140332038095,2.3436904600650113e-06,2.291378253111074e-05
C18-neg_Cluster_0072,Diagnosis,0.641473536925158,1.165332177079374e-16,1.2888573878497877e-13
C18-neg_Cluster_0073,Diagnosis,-0.2516482602675113,0.0036060601709795343,0.01025929916168068
C18-neg_Cluster_0074,Diagnosis,-0.4429107594516749,1.0493298335931047e-07,1.6881574365163106e-06
C18-neg_Cluster_0075,Diagnosis,-0.3161939150326733,0.00022122054364621626,0.0009856697454392474
C18-neg_Cluster_0076,Diagnosis,0.6367111192747783,2.291180677602437e-16,1.4480261882447402e-13
C18-neg_Cluster_0078,Diagnosis,-0.39547262120773,2.6896760446175177e-06,2.5839580502471008e-05
C18-neg_Cluster_0079,Diagnosis,-0.4867612317802105,3.2601430427602006e-09,8.930571406297911e-08
C18-neg_Cluster_0080,Diagnosis,-0.4220224556553948,4.654499120578606e-07,5.816809070463207e-06
C18-neg_Cluster_0081,Diagnosis,-0.5424290066308343,1.8423055338196673e-11,9.819710459780975e-10
C18-neg_Cluster_0083,Diagnosis,-0.24087587178033465,0.005398853419181109,0.0143278509456852
C18-neg_Cluster_0085,Diagnosis,-0.33652030260689647,7.971627952984432e-05,0.000424130872687951
C18-neg_Cluster_0086,Diagnosis,-0.2038520585525247,0.019053628561747957,0.04060368629921626
C18-neg_Cluster_0090,Diagnosis,-0.31463214431882586,0.00023856593361245022,0.0010533090721571655
C18-neg_Cluster_0091,Diagnosis,0.6183440109783005,2.792733477742682e-15,8.588701549653469e-13
C18-neg_Cluster_0095,Diagnosis,-0.44485025087808233,9.090972873166524e-08,1.492987277471416e-06
C18-neg_Cluster_0101,Diagnosis,-0.3166289856334405,0.00021660126446799608,0.0009704770535639333
C18-neg_Cluster_0102,Diagnosis,-0.43369676868048096,2.0495153443791714e-07,2.967939732744175e-06
C18-neg_Cluster_0103,Diagnosis,-0.3618757258584908,2.0124431537271967e-05,0.00013644518792473744
C18-neg_Cluster_0108,Diagnosis,-0.2520826263388597,0.0035465861302382386,0.01012264325172514
C18-neg_Cluster_0109,Diagnosis,-0.4145737745810249,7.731337205014736e-07,8.930400990857753e-06
C18-neg_Cluster_0110,Diagnosis,-0.5385288672386896,2.7319310882531996e-11,1.3656568513482662e-09
