"","source","target","Spearman_Correlation"
"1","PC1","PC5_PC1",-0.348937924269383
"2","PC5_PC1","Disease Phenotype",0.297687133931251
"3","PC1","PC14_PC1",0.155317161745446
"4","PC14_PC1","Disease Phenotype",0.145223047769164
"5","PC2","PC1_PC2",0.70868183644399
"6","PC1_PC2","Disease Phenotype",-0.613476863844808
"7","PC3","PC1_PC3",0.553114222057573
"8","PC1_PC3","Disease Phenotype",-0.613476863844808
"9","PC3","PC4_PC3",0.18965526237523
"10","PC4_PC3","Disease Phenotype",0.128327291519012
"11","PC4","PC38_PC4",-0.171920084736477
"12","PC38_PC4","Disease Phenotype",0.170566682144393
"13","PC5","PC1_PC5",-0.2803869493303
"14","PC1_PC5","Disease Phenotype",-0.613476863844808
"15","PC5","PC3_PC5",-0.248412495499679
"16","PC3_PC5","Disease Phenotype",0.285216456698996
"17","PC5","PC5_PC5",-0.189530036054745
"18","PC5_PC5","Disease Phenotype",0.297687133931251
"19","PC6","PC5_PC6",-0.158213020406672
"20","PC5_PC6","Disease Phenotype",0.297687133931251
"21","PC7","PC1_PC7",-0.193610326997229
"22","PC1_PC7","Disease Phenotype",-0.613476863844808
"23","PC7","PC14_PC7",-0.0667351932920434
"24","PC14_PC7","Disease Phenotype",0.145223047769164
"25","PC8","PC3_PC8",-0.206999107762467
"26","PC3_PC8","Disease Phenotype",0.285216456698996
"27","PC9","PC1_PC9",0.183096533839804
"28","PC1_PC9","Disease Phenotype",-0.613476863844808
"29","PC9","PC5_PC9",-0.169269460952868
"30","PC5_PC9","Disease Phenotype",0.297687133931251
"31","PC11","PC38_PC11",-0.214747486342504
"32","PC38_PC11","Disease Phenotype",0.170566682144393
"33","PC12","PC1_PC12",-0.0707267822575175
"34","PC1_PC12","Disease Phenotype",-0.613476863844808
"35","PC12","PC3_PC12",-0.164432594324117
"36","PC3_PC12","Disease Phenotype",0.285216456698996
"37","PC13","PC4_PC13",-0.168418965526238
"38","PC4_PC13","Disease Phenotype",0.128327291519012
"39","PC13","PC43_PC13",0.15120556422284
"40","PC43_PC13","Disease Phenotype",0.208783273662594
"41","PC14","PC3_PC14",0.145867792312147
"42","PC3_PC14","Disease Phenotype",0.285216456698996
"43","PC14","PC14_PC14",-0.128356978497597
"44","PC14_PC14","Disease Phenotype",0.145223047769164
"45","PC14","PC38_PC14",-0.14723484631078
"46","PC38_PC14","Disease Phenotype",0.170566682144393
"47","PC15","PC4_PC15",0.172817540033289
"48","PC4_PC15","Disease Phenotype",0.128327291519012
"49","PC18","PC38_PC18",0.165617026605375
"50","PC38_PC18","Disease Phenotype",0.170566682144393
"51","PC22","PC14_PC22",-0.166963209550594
"52","PC14_PC22","Disease Phenotype",0.145223047769164
"53","PC25","PC19_PC25",-0.156214617042259
"54","PC19_PC25","Disease Phenotype",0.115052054465321
"55","PC27","PC14_PC27",0.15028202010926
"56","PC14_PC27","Disease Phenotype",0.145223047769164
"57","PC29","PC4_PC29",0.181207703505815
"58","PC4_PC29","Disease Phenotype",0.128327291519012
"59","PC30","PC1_PC30",0.167213662191565
"60","PC1_PC30","Disease Phenotype",-0.613476863844808
"61","PC32","PC4_PC32",0.299249163853423
"62","PC4_PC32","Disease Phenotype",0.128327291519012
"63","PC32","PC10_PC32",0.199078542991761
"64","PC10_PC32","Disease Phenotype",-0.150854966519215
"65","PC35","PC3_PC35",0.120660777551095
"66","PC3_PC35","Disease Phenotype",0.285216456698996
"67","PC40","PC43_PC40",-0.257287910964086
"68","PC43_PC40","Disease Phenotype",0.208783273662594
"69","PC43","PC1_PC43",-0.0445857878561776
"70","PC1_PC43","Disease Phenotype",-0.613476863844808
"71","PC43","PC19_PC43",-0.125257627065582
"72","PC19_PC43","Disease Phenotype",0.115052054465321
"73","PC44","PC3_PC44",-0.24606971975393
"74","PC3_PC44","Disease Phenotype",0.285216456698996
"75","PC44","PC19_PC44",0.192692000647003
"76","PC19_PC44","Disease Phenotype",0.115052054465321
