,PC,Label,p_value
0,PC1,"positive_1,2-diacylglycerols",1.0
1,PC1,"negative_1,2-diacylglycerols",1.0
2,PC1,"positive_1,3-diacylglycerols",1.0
3,PC1,"negative_1,3-diacylglycerols",1.0
4,PC1,"positive_1-(1Z-alkenyl),2-acyl-glycerophosphocholines",1.0
5,PC1,"negative_1-(1Z-alkenyl),2-acyl-glycerophosphocholines",1.0
6,PC1,positive_1-(1Z-alkenyl)-glycero-3-phosphocholines,1.0
7,PC1,negative_1-(1Z-alkenyl)-glycero-3-phosphocholines,0.5987418861455874
8,PC1,positive_1-(1Z-alkenyl)-glycero-3-phosphoethanolamines,1.0
9,PC1,negative_1-(1Z-alkenyl)-glycero-3-phosphoethanolamines,1.0
10,PC1,"positive_1-acyl,2-(1Z-alkenyl)-glycerophosphocholines",1.0
11,PC1,"negative_1-acyl,2-(1Z-alkenyl)-glycerophosphocholines",1.0
12,PC1,positive_1-acyl-sn-glycero-3-phosphocholines,1.0
13,PC1,negative_1-acyl-sn-glycero-3-phosphocholines,0.04848359670983902
14,PC1,positive_1-acyl-sn-glycero-3-phosphoethanolamines,0.4927243172931911
15,PC1,negative_1-acyl-sn-glycero-3-phosphoethanolamines,1.0
16,PC1,"positive_1-acyl-sn-glycerol-2,3-cyclic-phosphates",0.3923611111111112
17,PC1,"negative_1-acyl-sn-glycerol-2,3-cyclic-phosphates",0.3923611111111112
18,PC1,positive_1-acyl-sn-glycerol-3-phosphoinositols,1.0
19,PC1,negative_1-acyl-sn-glycerol-3-phosphoinositols,0.29445234708392604
20,PC1,positive_1-acylglycerol-3-phosphates,1.0
21,PC1,negative_1-acylglycerol-3-phosphates,0.36755952380952395
22,PC1,"positive_1-alkyl,2-acylglycero-3-phosphocholines",1.0
23,PC1,"negative_1-alkyl,2-acylglycero-3-phosphocholines",0.2930520576951544
24,PC1,"positive_1-alkyl,2-acylglycerophosphates",1.0
25,PC1,"negative_1-alkyl,2-acylglycerophosphates",1.0
26,PC1,positive_1-benzopyrans,0.2451612903225807
27,PC1,negative_1-benzopyrans,1.0
28,PC1,positive_1-monoacylglycerols,0.6800006068910397
29,PC1,negative_1-monoacylglycerols,0.43438671327788786
30,PC1,positive_2-acyl-sn-glycero-3-phosphocholines,1.0
31,PC1,negative_2-acyl-sn-glycero-3-phosphocholines,1.0
32,PC1,positive_2-deoxystreptamine aminoglycosides,1.0
33,PC1,negative_2-deoxystreptamine aminoglycosides,1.0
34,PC1,positive_2-monoacylglycerols,0.49624750082062613
35,PC1,negative_2-monoacylglycerols,0.27507836990595613
36,PC1,positive_2-polyprenyl-6-methoxyphenols,1.0
37,PC1,negative_2-polyprenyl-6-methoxyphenols,1.0
38,PC1,positive_21-hydroxysteroids,1.0
39,PC1,negative_21-hydroxysteroids,1.0
40,PC1,positive_3-hydroxysteroids,0.5120120120120121
41,PC1,negative_3-hydroxysteroids,1.0
42,PC1,positive_Abscisic acids and derivatives,1.0
43,PC1,negative_Abscisic acids and derivatives,1.0
44,PC1,positive_Acetals,1.0
45,PC1,negative_Acetals,1.0
46,PC1,positive_Acyclic diterpenoids,0.4168094711770679
