Column_A,Column_B,Correlation,P_value,FDR
C18-neg_Cluster_1757,Diagnosis,0.2129177002229374,0.014240221098418238,0.023017678576506984
HILIC-pos_Cluster_1395,Diagnosis,0.2942560427277271,0.0006153958478624745,0.0015006121410359112
HILIC-pos_Cluster_2265,Diagnosis,-0.27737085897021996,0.001282537579308356,0.002806679949085012
C18-neg_Cluster_1145,Diagnosis,0.356162147622478,2.7728394369289337e-05,0.00010961248534671458
HILIC-pos_Cluster_0423,Diagnosis,-0.46889802367923256,1.422619608965083e-08,1.8761975320356477e-07
HILIC-pos_Cluster_1361,Diagnosis,-0.4560547325154086,3.8995162414224156e-08,4.247843376474129e-07
C18-neg_Cluster_0784,Diagnosis,0.31706481972070455,0.0002120637590465107,0.0006059660976892249
C8-pos_Cluster_0581,Diagnosis,-0.3994161186965939,2.0924300778611325e-06,1.2459356104341977e-05
C8-pos_Cluster_1695,Diagnosis,-0.30526758795140413,0.00037191898858405424,0.0009784027572697978
C18-neg_Cluster_1323,Diagnosis,0.39705027187857417,2.433556291385382e-06,1.4201457606535352e-05
C18-neg_Cluster_1943,Diagnosis,0.36298782426454534,1.8893792356815184e-05,7.932096818038384e-05
HILIC-neg_Cluster_0475,Diagnosis,0.5969320004212911,4.223389691019389e-14,3.683981323464632e-12
HILIC-pos_Cluster_0495,Diagnosis,-0.4923931799165105,2.0126854487269825e-09,3.3922278139222226e-08
HILIC-pos_Cluster_1229,Diagnosis,0.22469964293819014,0.009590352426425836,0.0162464164443575
C8-pos_Cluster_0857,Diagnosis,-0.23596162515253158,0.006453933028301629,0.01156358739341106
C18-neg_Cluster_2032,Diagnosis,-0.463167716904227,2.242355938827666e-08,2.699514219818681e-07
C8-pos_Cluster_1148,Diagnosis,0.25608875637297746,0.0030382616682942155,0.0059945384979201745
C18-neg_Cluster_2065,Diagnosis,-0.41077052204007247,9.97130456295925e-07,6.557847392464735e-06
C18-neg_Cluster_1512,Diagnosis,-0.2905841024264322,0.0007247433815636934,0.0017266047403616117
C8-pos_Cluster_0961,Diagnosis,0.5650660752845326,1.6881701070723277e-12,7.494269439610369e-11
HILIC-pos_Cluster_1628,Diagnosis,-0.4489560932472273,6.690129940545813e-08,6.712223521530254e-07
C18-neg_Cluster_2160,Diagnosis,0.25361509450626774,0.0033437386895230057,0.006532443522321566
HILIC-neg_Cluster_0461,Diagnosis,-0.35481134408390297,2.9884590631427474e-05,0.00011668609645976794
C18-neg_Cluster_0440,Diagnosis,-0.2883606378686576,0.0007993523491836501,0.0018711769680513693
HILIC-pos_Cluster_2021,Diagnosis,-0.2952734544669437,0.0005879046011275122,0.0014409359915707042
HILIC-pos_Cluster_2308,Diagnosis,-0.29206422777943236,0.0006786816718658953,0.0016363346408209006
C8-pos_Cluster_2222,Diagnosis,0.44190578898088206,1.1299058465718778e-07,1.0540134838940669e-06
C18-neg_Cluster_1292,Diagnosis,0.20597922990940898,0.0178131221654317,0.02808080006548079
HILIC-neg_Cluster_1304,Diagnosis,-0.2904673145692994,0.0007284973215505554,0.0017338542996439127
C8-pos_Cluster_1386,Diagnosis,0.2772888607582851,0.0012869782065976871,0.0028128180200909414
C18-neg_Cluster_2018,Diagnosis,-0.4322174478566047,2.2778945313761043e-07,1.922867845501187e-06
C8-pos_Cluster_1058,Diagnosis,-0.2775839505591874,0.0012710628557773623,0.002785246592739112
HILIC-pos_Cluster_0542,Diagnosis,-0.41555514777159785,7.236377764329799e-07,5.011040423989939e-06
HILIC-pos_Cluster_0565,Diagnosis,-0.246743414662288,0.0043426043088724275,0.008194090559284141
HILIC-pos_Cluster_0170,Diagnosis,-0.32352590603204057,0.0001543512423327396,0.0004639869267704844
C18-neg_Cluster_1728,Diagnosis,0.5816060460549236,2.6165479274811847e-13,1.5674067825827046e-11
HILIC-pos_Cluster_0712,Diagnosis,-0.22352877550922987,0.009983238315235135,0.016825986746897996
HILIC-pos_Cluster_0216,Diagnosis,-0.2582596938614718,0.002791150589703209,0.005553261597440719
C8-pos_Cluster_1996,Diagnosis,-0.33685809668641004,7.832769092321828e-05,0.0002610223051409124
C8-pos_Cluster_0745,Diagnosis,-0.24516977481503008,0.004605981352548126,0.00860937567100349
C18-neg_Cluster_0987,Diagnosis,-0.33429635009037606,8.944845090927302e-05,0.00029069785562071753
C18-neg_Cluster_1912,Diagnosis,-0.21733966028804633,0.012304418883980085,0.020210627912503793
C8-pos_Cluster_0609,Diagnosis,-0.2318652506542042,0.007469567344993252,0.013081609312894133
HILIC-neg_Cluster_0821,Diagnosis,-0.31706758369968563,0.00021203526665923358,0.0006059660976892249
